surprisal,sentence,sentence_type,spillover_position,token,token_number,sentence_number
13.632716178894043,Henry thinks trees are straws because they suck up nutrients.,metaphor,spillover after, thinks,0,0
17.228425979614258,Henry thinks trees are straws because they suck up nutrients.,metaphor,spillover after, trees,1,0
1.8690359592437744,Henry thinks trees are straws because they suck up nutrients.,metaphor,spillover after, are,2,0
14.20969009399414,Henry thinks trees are straws because they suck up nutrients.,metaphor,spillover after, straw,3,0
2.602992534637451,Henry thinks trees are straws because they suck up nutrients.,metaphor,spillover after,s,4,0
5.17356538772583,Henry thinks trees are straws because they suck up nutrients.,metaphor,spillover after, because,5,0
1.1108646392822266,Henry thinks trees are straws because they suck up nutrients.,metaphor,spillover after, they,6,0
8.43732738494873,Henry thinks trees are straws because they suck up nutrients.,metaphor,spillover after, suck,7,0
2.1101584434509277,Henry thinks trees are straws because they suck up nutrients.,metaphor,spillover after, up,8,0
5.481354236602783,Henry thinks trees are straws because they suck up nutrients.,metaphor,spillover after, nutrients,9,0
2.3568689823150635,Henry thinks trees are straws because they suck up nutrients.,metaphor,spillover after,.,10,0
13.632716178894043,Henry thinks trees are like straws because they suck up nutrients.,simile,spillover after, thinks,0,1
17.228425979614258,Henry thinks trees are like straws because they suck up nutrients.,simile,spillover after, trees,1,1
1.8690359592437744,Henry thinks trees are like straws because they suck up nutrients.,simile,spillover after, are,2,1
6.115652561187744,Henry thinks trees are like straws because they suck up nutrients.,simile,spillover after, like,3,1
10.9911527633667,Henry thinks trees are like straws because they suck up nutrients.,simile,spillover after, straw,4,1
3.4857287406921387,Henry thinks trees are like straws because they suck up nutrients.,simile,spillover after,s,5,1
5.950040340423584,Henry thinks trees are like straws because they suck up nutrients.,simile,spillover after, because,6,1
0.8514842987060547,Henry thinks trees are like straws because they suck up nutrients.,simile,spillover after, they,7,1
8.37147331237793,Henry thinks trees are like straws because they suck up nutrients.,simile,spillover after, suck,8,1
1.9668854475021362,Henry thinks trees are like straws because they suck up nutrients.,simile,spillover after, up,9,1
5.491204738616943,Henry thinks trees are like straws because they suck up nutrients.,simile,spillover after, nutrients,10,1
2.378026247024536,Henry thinks trees are like straws because they suck up nutrients.,simile,spillover after,.,11,1
6.46415901184082,"Because they suck up nutrients, Henry thinks trees are straws.",metaphor,spillover before, they,0,2
13.303434371948242,"Because they suck up nutrients, Henry thinks trees are straws.",metaphor,spillover before, suck,1,2
5.825996398925781,"Because they suck up nutrients, Henry thinks trees are straws.",metaphor,spillover before, up,2,2
12.849265098571777,"Because they suck up nutrients, Henry thinks trees are straws.",metaphor,spillover before, nutrients,3,2
1.9785411357879639,"Because they suck up nutrients, Henry thinks trees are straws.",metaphor,spillover before,",",4,2
21.306175231933594,"Because they suck up nutrients, Henry thinks trees are straws.",metaphor,spillover before, Henry,5,2
7.089598655700684,"Because they suck up nutrients, Henry thinks trees are straws.",metaphor,spillover before, thinks,6,2
16.880796432495117,"Because they suck up nutrients, Henry thinks trees are straws.",metaphor,spillover before, trees,7,2
2.5272576808929443,"Because they suck up nutrients, Henry thinks trees are straws.",metaphor,spillover before, are,8,2
15.651573181152344,"Because they suck up nutrients, Henry thinks trees are straws.",metaphor,spillover before, straw,9,2
1.8961706161499023,"Because they suck up nutrients, Henry thinks trees are straws.",metaphor,spillover before,s,10,2
1.8255269527435303,"Because they suck up nutrients, Henry thinks trees are straws.",metaphor,spillover before,.,11,2
6.46415901184082,"Because they suck up nutrients, Henry thinks trees are like straws.",simile,spillover before, they,0,3
13.303434371948242,"Because they suck up nutrients, Henry thinks trees are like straws.",simile,spillover before, suck,1,3
5.825996398925781,"Because they suck up nutrients, Henry thinks trees are like straws.",simile,spillover before, up,2,3
12.849265098571777,"Because they suck up nutrients, Henry thinks trees are like straws.",simile,spillover before, nutrients,3,3
1.9785411357879639,"Because they suck up nutrients, Henry thinks trees are like straws.",simile,spillover before,",",4,3
21.306175231933594,"Because they suck up nutrients, Henry thinks trees are like straws.",simile,spillover before, Henry,5,3
7.089598655700684,"Because they suck up nutrients, Henry thinks trees are like straws.",simile,spillover before, thinks,6,3
16.880796432495117,"Because they suck up nutrients, Henry thinks trees are like straws.",simile,spillover before, trees,7,3
2.5272576808929443,"Because they suck up nutrients, Henry thinks trees are like straws.",simile,spillover before, are,8,3
6.0048933029174805,"Because they suck up nutrients, Henry thinks trees are like straws.",simile,spillover before, like,9,3
10.836487770080566,"Because they suck up nutrients, Henry thinks trees are like straws.",simile,spillover before, straw,10,3
2.63820219039917,"Because they suck up nutrients, Henry thinks trees are like straws.",simile,spillover before,s,11,3
1.963936448097229,"Because they suck up nutrients, Henry thinks trees are like straws.",simile,spillover before,.,12,3
12.921910285949707,Susan believes the Bible is a sword because it helps fight against temptation.,metaphor,spillover after, believes,0,4
3.2615602016448975,Susan believes the Bible is a sword because it helps fight against temptation.,metaphor,spillover after, the,1,4
9.893592834472656,Susan believes the Bible is a sword because it helps fight against temptation.,metaphor,spillover after, Bible,2,4
2.148111343383789,Susan believes the Bible is a sword because it helps fight against temptation.,metaphor,spillover after, is,3,4
3.3549206256866455,Susan believes the Bible is a sword because it helps fight against temptation.,metaphor,spillover after, a,4,4
12.924026489257812,Susan believes the Bible is a sword because it helps fight against temptation.,metaphor,spillover after, sword,5,4
7.207271575927734,Susan believes the Bible is a sword because it helps fight against temptation.,metaphor,spillover after, because,6,4
1.6315245628356934,Susan believes the Bible is a sword because it helps fight against temptation.,metaphor,spillover after, it,7,4
8.78431224822998,Susan believes the Bible is a sword because it helps fight against temptation.,metaphor,spillover after, helps,8,4
7.021237850189209,Susan believes the Bible is a sword because it helps fight against temptation.,metaphor,spillover after, fight,9,4
